PostalCode,Borough,Neighbourhood Number,Population,Population density per square kilometre,Land area in square kilometres,Total - Household total income groups,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 and over"
M1B,Scarborough,263,90290,6208,45.74,26825,290,240,420,720,730,925,955,1090,1055,1110,2330,2150,1930,1845,1640,9340,3355,2315,2390,1300
M1C,Scarborough,134,12494,2403,5.2,3700,60,25,45,60,70,80,90,120,80,115,230,230,200,195,210,1890,490,410,550,440
M1E,Scarborough,411,54764,8570,19.04,19855,315,540,815,970,880,890,905,885,905,815,1565,1360,1255,1140,1050,5570,1970,1320,1390,915
M1G,Scarborough,137,53485,4345,12.31,18445,435,455,685,1170,825,960,910,950,955,815,1725,1405,1240,1070,865,3980,1660,1030,855,430
M1H,Scarborough,127,29960,4011,7.47,10765,615,220,255,450,370,475,465,520,495,530,935,845,765,615,575,2625,1015,700,635,275
M1J,Scarborough,139,16724,5395,3.1,5920,105,180,305,330,325,345,370,345,325,355,570,420,355,300,220,1080,410,240,230,195
M1K,Scarborough,125,13641,7031,1.94,5165,120,95,205,250,240,295,295,295,340,295,465,440,400,280,260,900,405,250,185,70
M1L,Scarborough,302,56512,26604,10.3,20800,480,580,1000,1160,1095,1135,1155,1110,1140,1055,1790,1545,1270,1095,975,4250,1735,1005,1045,465
M1M,Scarborough,385,55834,14094,13.83,20390,305,420,780,1120,1100,1105,1075,1065,1060,980,1755,1430,1330,1125,910,4825,1760,1150,1155,745
M1N,Scarborough,122,22291,3765,5.92,9200,165,290,320,335,405,330,315,340,330,310,650,595,525,475,465,3345,935,670,825,930
M1P,Scarborough,256,51575,6976,15.42,16455,260,215,380,750,635,920,870,825,905,810,1500,1365,1190,1055,850,3900,1625,920,940,440
M1R,Scarborough,119,27917,2724,10.25,10105,175,145,285,455,495,455,535,480,500,445,855,770,675,590,505,2740,1020,680,705,330
M1S,Scarborough,128,23757,3034,7.83,8135,315,140,195,265,315,400,370,385,370,415,770,645,595,510,405,2030,790,475,475,285
M1T,Scarborough,118,27446,5073,5.41,10055,225,155,255,615,505,580,520,510,520,460,850,730,630,600,470,2455,895,570,585,400
M1V,Scarborough,379,86468,12552,19.96,28545,540,375,560,1320,1005,1440,1320,1305,1260,1205,2350,2080,1925,1675,1495,8730,2885,2090,2140,1590
M1W,Scarborough,116,24623,5436,4.53,7820,195,115,150,370,315,405,410,395,300,315,565,605,515,475,430,2245,770,570,525,380
M1X,Scarborough,25,30491,5864,5.2,9920,90,155,280,630,655,590,640,655,535,560,925,720,630,550,470,1835,790,495,410,140
M2H,North York,48,16934,3148,5.38,6395,175,115,170,560,235,325,245,245,195,165,375,350,405,310,305,2215,675,500,560,480
M2J,North York,100,42774,12488,6.8,16335,790,345,465,665,695,755,765,740,695,720,1380,1220,1180,1010,835,4075,1485,900,910,760
M2K,North York,52,21396,4195,5.1,9530,585,260,290,330,365,370,360,330,350,335,650,655,615,520,495,3010,855,630,665,855
M2L,North York,81,27078,3470,16.24,9665,245,110,155,185,205,235,205,255,195,205,455,415,425,385,380,5585,720,590,825,3450
M2M,North York,137,90362,19083,13.8,37370,2935,1010,1260,1800,1510,1780,1535,1400,1355,1385,2590,2420,2190,2020,1735,10405,3255,2120,2415,2610
M2N,North York,37,16936,5820,2.91,7550,560,225,250,605,325,315,285,245,265,240,440,390,375,375,335,2320,635,485,565,640
M2R,North York,35,26274,7339,3.58,10235,220,190,330,855,550,605,545,520,480,505,865,780,655,595,525,2015,805,435,460,305
M3A,North York,45,34805,4691,7.42,13305,345,185,315,520,590,600,615,575,620,620,1200,1025,880,790,650,3795,1220,790,890,890
M3B,North York,42,27695,2775,9.98,12125,265,155,235,400,395,445,405,470,460,400,930,885,780,655,605,4615,1135,780,935,1750
M3C,North York,44,21933,9026,2.43,7830,255,145,250,500,440,500,485,480,505,415,745,665,525,435,350,1130,525,260,215,105
M3H,North York,93,67397,9693,23.84,25750,455,365,720,1415,1185,1155,1230,1280,1235,1185,2085,1935,1655,1425,1250,7175,2345,1570,1695,1560
M3J,North York,27,27593,2086,13.23,10165,345,230,340,520,525,525,590,570,530,530,950,845,615,605,515,1955,825,490,445,195
M3K,North York,38,16164,3038,5.32,6595,330,130,160,225,230,230,215,235,210,185,430,390,335,330,300,2675,585,455,550,1095
M3M,North York,110,11058,6467,1.71,4180,70,80,125,275,245,220,205,195,200,185,330,290,275,225,225,1015,430,245,250,90
M4A,North York,43,17510,3710,4.72,7410,180,205,280,540,420,385,400,370,370,425,640,570,490,385,290,1445,565,315,325,240
M4B,East York,118,31216,11618,6.54,12925,255,275,530,710,670,565,595,535,540,475,890,775,645,620,565,4285,1145,845,1180,1125
M4C,East York,60,7865,6722,1.17,3455,55,65,105,195,150,135,110,130,115,115,245,205,200,185,195,1245,380,300,365,210
M4E,East Toronto,63,21567,6058,3.56,9425,195,150,260,295,270,245,225,280,255,295,510,455,445,430,405,4740,865,640,955,2265
M4G,East York,56,16828,3596,4.68,6435,120,65,80,130,150,160,150,155,140,165,310,265,265,270,230,3775,535,365,615,2260
M4H,East York,55,21108,6787,3.11,7125,250,160,255,475,375,490,490,465,470,415,730,560,425,360,270,925,455,205,160,100
M4J,East York,57,11499,6764,1.7,5665,145,110,200,360,290,345,335,305,310,270,540,400,320,280,225,1230,380,240,300,320
M4K,East Toronto,200,61173,17944,13.31,26250,575,655,1100,1380,1070,930,970,920,875,820,1555,1510,1285,1230,1160,10265,2360,1805,2650,3440
M4L,East Toronto,54,18675,3780,4.94,7470,190,150,265,395,395,375,370,375,350,295,595,485,410,385,345,2095,625,410,555,515
M4N,Central Toronto,208,29786,11092,5.52,11165,180,135,195,270,230,215,190,255,200,215,435,405,410,405,385,7065,830,680,1160,4400
M4P,Central Toronto,203,46433,27380,4.45,24930,920,550,860,1290,980,865,820,910,955,950,1915,1745,1555,1400,1200,8055,2105,1395,1725,2835
M4S,Central Toronto,100,11817,7162,1.65,5680,205,105,145,175,175,170,190,210,195,180,370,375,325,275,245,2340,460,350,430,1110
M4T,Central Toronto,98,20923,4500,4.65,10055,305,120,185,250,255,260,215,225,275,255,525,510,505,440,440,5265,770,610,820,3055
M4V,Central Toronto,96,10968,5683,1.93,5405,165,75,135,180,160,185,170,170,140,160,280,285,285,240,260,2535,445,325,440,1325
M4X,Downtown Toronto,145,30284,52656,1.82,16000,615,610,1095,1435,900,820,785,760,705,745,1240,1020,875,695,610,3095,1005,595,635,870
M5A,Downtown Toronto,149,76716,25823,8.01,45710,1975,1180,1535,1695,1520,1440,1370,1425,1485,1460,3085,3305,3150,2805,2580,15740,4825,3200,3695,4000
